No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving,Pedestrian simulation mode
1,Redundant3x3Wards.txt,10,600,10,networkx,10,0,3524,773.32221364975,1.39478294054667,2
2.0,Redundant3x3Wards.txt,2,300,10,networkx,0,2,0,2.361940383911133,0.07646367766640404,0
3.0,Redundant3x3Wards.txt,2,300,10,solver,0,2,0,12.572806119918823,1.4282015,0
4.0,Redundant3x3Wards.txt,2,600,10,networkx,1,1,756.0,2.3984930515289307,0.0859646201133728,0
5.0,Redundant3x3Wards.txt,2,600,10,solver,1,1,192.0,91.25776720046997,5.703212,0
6.0,Redundant3x3Wards.txt,2,900,10,networkx,2,0,1572.0,241.7629199028015,0.4197983912059239,0
7.0,Redundant3x3Wards.txt,2,900,10,solver,2,0,1790.0,611.4497892856598,32.85296858333333,0
8.0,Redundant3x3Wards.txt,4,300,10,networkx,0,4,0,4.259693384170532,0.10526317358016968,0
9.0,Redundant3x3Wards.txt,4,300,10,solver,1,3,420.0,147.32146573066711,5.5854987199999995,0
10.0,Redundant3x3Wards.txt,6,300,10,networkx,0,6,0,5.852809190750122,0.09286957520705003,0
11.0,Redundant3x3Wards.txt,6,300,10,solver,1,5,310.0,389.11320781707764,11.418674848484848,0
12.0,Redundant3x3Wards.txt,8,300,10,networkx,2,6,672.0,31.217264652252197,0.28834031422932943,0
13.0,Redundant3x3Wards.txt,8,300,10,solver,3,5,1086.0,1222.9818885326385,35.065661852941176,0
14.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,1210.0,50.88713240623474,0.4742034912109375,0
15.0,Redundant3x3Wards.txt,10,300,10,solver,2,8,446.0,2195.6951851844788,58.226749513513504,0
16.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,1264.0,45.217512369155884,0.4190554618835449,0
17.0,Redundant3x3Wards.txt,10,300,10,solver,4,6,1261.0,4054.1784241199493,84.72573757446804,0
18.0,Redundant3x3Wards.txt,10,300,10,networkx,5,5,1515.0,67.57696723937988,0.47252243757247925,0
19.0,Redundant3x3Wards.txt,10,300,10,solver,3,7,1158.0,3849.4966275691986,108.1783527142857,0
20.0,Redundant3x3Wards.txt,10,300,10,networkx,3,7,1253.0,51.681742906570435,0.40653015949107985,0
21.0,Redundant3x3Wards.txt,10,300,10,solver,3,7,1019.0,6284.825274944305,144.73811062790693,0
22.0,Redundant3x3Wards.txt,10,300,10,networkx,7,3,1456.0,209.73512625694275,0.5369267284870147,2
23.0,Redundant3x3Wards.txt,10,300,10,solver,7,3,1657.0,9069.861067056656,192.45867080434783,2
24.0,Redundant3x3Wards.txt,10,300,10,networkx,7,3,2325.0,242.93266105651855,0.4493961223336153,2
25.0,Redundant3x3Wards.txt,10,300,10,solver,6,4,1563.0,4033.5632820129395,106.95949688888889,2
26.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,886.0,233.8969156742096,0.30198430131982873,2
27.0,Redundant3x3Wards.txt,10,300,10,solver,5,5,1118.0,1858.6921865940094,42.76714080487803,2
28.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,1385.0,25.028513431549072,0.22451477580600315,0
29.0,Redundant3x3Wards.txt,10,300,10,solver,5,5,1595.0,2994.7507467269897,81.99742519444446,0
30.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,2.87406587600708,0.0013959407806396484,0,2025-06-02 23:57:46
31.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.6654691696166992,1.0,0,2025-06-02 23:57:47
32.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,0.45860958099365234,0.0012438297271728516,1,2025-06-02 23:57:48
33.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.20544743537902832,0.0,1,2025-06-02 23:57:49
34.0,simplest.txt,2,10,1,networkx,0,2,0,0.7754950523376465,0.0015616416931152344,0,2025-06-03 20:10:53
35.0,simplest.txt,2,10,1,solver,0,2,0,0.6194636821746826,0.0,0,2025-06-03 20:11:19
36.0,simplest.txt,2,10,1,networkx,0,2,0,0.2569293975830078,0.0013408660888671875,0,2025-06-03 20:25:10
37.0,simplest.txt,2,10,1,solver,0,2,0,0.060453176498413086,0.0,0,2025-06-03 20:25:15
38.0,simplest.txt,2,10,1,networkx,2,0,15.0,0.021242380142211914,0.0010728836059570312,1,2025-06-03 20:25:17
39.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.2847127914428711,0.0,0,2025-06-03 20:45:39
40.0,simplest.txt,2,10,1,solver,0,2,0,0.29805874824523926,0.0,0,2025-06-03 20:46:00
41.0,simplest.txt,2,10,1,networkx,0,2,0,0.862391471862793,0.001367330551147461,0,2025-06-04 15:35:55
42.0,simplest.txt,2,10,1,solver,0,2,0,1.2537610530853271,1.0,0,2025-06-04 15:36:03
